3.324218750000008660e-01;2.925895399358820370e+00;8.499999999999999778e-01;1.000000000000000000e+00;8.302230167678428074e+01;8.557735119579097660e-02;6.606949258802641278e-02;1.204129332619849748e+02;-1.132781368496258212e+00;-2.162534718848866961e-03;9.560975398404918391e-01;1.692044341362473614e-01;5.513441457088607417e-03;1.707232553460650290e-03;7.499510864131043775e+01;9.415859762931151522e+01;1.640354620002379693e-01;4.336150452102250363e-01;1.204129332619849748e+02;9.271038481403230946e-01;-1.013333333333333273e-02;9.851037951484309385e-01;8.952705202177556032e+01;1.051699048004634429e+00;1.709114959493776842e-01;2.232293820378135063e-01;8.992119289976334073e+01;7.903294890930328620e+01;8.077499618432345585e+01;-3.912775090882289675e+01;1.069678174664611126e+00;7.378848544379156271e-01;1.001358122272914244e+02;9.072720484022721621e+01;8.790520646034089225e+01;9.013932430368711834e+01;6.012128357615586616e+00
4.102119149414951704e-01;3.063146658761382479e+00;1.065090922361052517e+00;9.862988997720617546e-01;1.010433145868327500e+02;8.722178284167551865e-02;6.630048015887225754e-02;1.499687339088811484e+02;-1.147090423582036056e+00;-1.649950984877521622e-03;1.057932447948015664e+00;1.561177625935459556e-01;6.869999552158066562e-03;9.528434772498209186e-04;9.169722860733392622e+01;1.144699972507780217e+02;1.640354620002379693e-01;3.291787315221433308e-01;1.499687339088811484e+02;9.251853960362262930e-01;-1.218545718552216731e-02;9.826616561641668968e-01;1.091872214693555776e+02;1.048391288296086854e+00;1.570705107769189701e-01;2.064596127433721562e-01;1.095507515928760398e+02;9.518883316229798197e+01;1.040362001277770787e+02;-4.666608074685917984e+01;1.128804806666561467e+00;8.240432584986453479e-01;1.213949471999901988e+02;1.104828728795456385e+02;1.067066691537216769e+02;1.102967866030941764e+02;5.763142925968118391e+00
4.819744161916190150e-01;3.183527676276256990e+00;1.253667481506604897e+00;9.717965082390174203e-01;1.210799373156814198e+02;8.700005354872399066e-02;6.606734208492202887e-02;1.793142668145577261e+02;-1.150275568922942249e+00;-1.384018189307100475e-03;1.186014076252773330e+00;1.555549857163634475e-01;6.447844089457385394e-03;1.991660558740850160e-03;1.103080531859689444e+02;1.369231610732580577e+02;1.640354620002379693e-01;2.740763114644531040e-01;1.793142668145577261e+02;9.245980851709953985e-01;-1.487225028066983291e-02;9.798378720839874267e-01;1.309225094534069171e+02;1.045884539058885121e+00;1.575464470891300706e-01;2.080400989324999450e-01;1.312880959994279237e+02;1.138242876476625014e+02;1.229256292616538104e+02;-5.520329738224313587e+01;1.109934068023826548e+00;7.632042814179359480e-01;1.448681491998151785e+02;1.323414604058942814e+02;1.275941886058837582e+02;1.326425321478119201e+02;5.799037684710677709e+00
5.450384163416317485e-01;3.290854277953736418e+00;1.417851642128982403e+00;9.557823235959411745e-01;1.433629336252144810e+02;8.609820802610286539e-02;6.558684692972097108e-02;2.044821677949190075e+02;-1.144098441265178012e+00;-1.236912209173204749e-03;1.313292016406908180e+00;1.667229628533785646e-01;6.937991924606486116e-03;6.605536495386378579e-04;1.310502498118065091e+02;1.615822290814131179e+02;1.640354620002379693e-01;2.484699602881719482e-01;2.044821677949190075e+02;9.258982234478094764e-01;-1.663332776622619344e-02;9.779744938904656459e-01;1.548018088847319689e+02;1.043874844764461463e+00;1.673834504409462132e-01;2.212890144828320582e-01;1.551904813496560109e+02;1.353135960572083434e+02;1.401596869232429299e+02;-6.291344699391921580e+01;1.064833313589296226e+00;7.701553642520219123e-01;1.706252797142519455e+02;1.563629592464863549e+02;1.508118518979639191e+02;1.573975595401052203e+02;5.764722594828918467e+00
6.041996387138706126e-01;3.388207938222628002e+00;1.557806457299380609e+00;9.383615155082100090e-01;1.681021420055429303e+02;8.557257802817459791e-02;6.484064174145443005e-02;2.295898011279377329e+02;-1.131191157568681271e+00;-1.072139791099452821e-03;1.459827780842111844e+00;1.715512629184020865e-01;8.146314696102796918e-03;1.046749813388671056e-05;1.541303873198308736e+02;1.886154005707549857e+02;1.640354620002379693e-01;2.180956878653047548e-01;2.295898011279377329e+02;9.286548287743103813e-01;-1.798892093603647602e-02;9.765776362108722353e-01;1.809839487926179231e+02;1.042258375376901247e+00;1.715617293696805046e-01;2.267601558030784559e-01;1.813822706777907570e+02;1.600068715660579528e+02;1.611951473940919186e+02;-6.933706106784566714e+01;1.040872318981314049e+00;7.965034098738373869e-01;1.988381965863636935e+02;1.827141662452605715e+02;1.765737090384641874e+02;1.848050684591460140e+02;4.102369238315287880e+00
6.683328707870759278e-01;3.477568982447505341e+00;1.674912180599744449e+00;9.203795035777043720e-01;1.952481724684956248e+02;8.413333050904099608e-02;6.383679443944643983e-02;2.621372501806301898e+02;-1.112177701904835114e+00;-9.787176167373758378e-04;1.638803332056861795e+00;1.835637408466684606e-01;7.803438009357190584e-03;6.724615172236659806e-04;1.794996122734216044e+02;2.178651172277878914e+02;1.640354620002379693e-01;2.019151287826526364e-01;2.621372501806301898e+02;9.326840374646327980e-01;-1.929394806734899964e-02;9.753409044645421355e-01;2.093083965276235574e+02;1.040984989078152401e+00;1.842361351110149426e-01;2.433003057255807566e-01;2.097359329684610145e+02;1.882143394345137324e+02;1.841093807683809871e+02;-7.793209916866220510e+01;1.020476441996999384e+00;8.192010749523050972e-01;2.293508539929228220e+02;2.112367490225383051e+02;2.048343649159795348e+02;2.148002330090110661e+02;4.172890015399524088e+00
7.364158790879089533e-01;3.559896771721543285e+00;1.769766026330043207e+00;9.020647514465288674e-01;2.247950817865283000e+02;8.222197053576615899e-02;6.272070000086431285e-02;2.956644322904711544e+02;-1.087579758374074279e+00;-9.152918588232900879e-04;1.832234486457575917e+00;2.007655470991603908e-01;8.038789501318121741e-03;9.189736802407085002e-04;2.071460777364284240e+02;2.491540106965416328e+02;1.640354620002379693e-01;1.924300258771911298e-01;2.956644322904711544e+02;9.380393121228365327e-01;-1.946496173325544532e-02;9.751536030918797060e-01;2.396045623132670244e+02;1.039969651714137466e+00;2.016844288728426027e-01;2.660623776847190758e-01;2.400723091198232169e+02;2.203322061752505476e+02;2.086506425926421571e+02;-8.661942454985170059e+01;1.002763317575950719e+00;7.984095665556144583e-01;2.619927567564887454e+02;2.417480906667819909e+02;2.355992240291220980e+02;2.473146187522508228e+02;4.374208524784846119e+00
8.088172692269227637e-01;3.636117507345783650e+00;1.841998841696661726e+00;8.833485755462314737e-01;2.569033683408064235e+02;8.005414746821989946e-02;6.154738549074050685e-02;3.307525100282281301e+02;-1.059633275576616018e+00;-7.988461624803682186e-04;2.051432044526221965e+00;2.056095972374531455e-01;8.798990927334921983e-03;-4.267685984750516385e-04;2.372240594459472049e+02;2.827061974612976769e+02;1.640354620002379693e-01;1.725649434991749220e-01;3.307525100282281301e+02;9.441456877347396137e-01;-1.176102663314830196e-02;9.830057436991528341e-01;2.720622519115244700e+02;1.039234641587378327e+00;2.051828713201053478e-01;2.676452328356255239e-01;2.725350800156807054e+02;2.567788528176990326e+02;2.350634190959271166e+02;-9.523781574226116220e+01;9.867753395384378790e-01;8.051596542723872263e-01;2.969972325757816520e+02;2.744688898700352979e+02;2.690313647556747014e+02;2.827061974612977338e+02;4.673936957180548468e+00
8.834656403140347392e-01;3.707044610610181756e+00;1.891150398983167946e+00;8.731524000922836759e-01;2.899194219864685920e+02;7.791611016684242552e-02;5.981620281815478585e-02;3.665222283891792472e+02;-1.030240202670720917e+00;-7.785692805964585092e-04;2.280822009382032167e+00;2.305551554633485933e-01;7.589011248260539404e-03;1.481362186247654191e-03;2.680513802989719920e+02;3.188302491071926852e+02;1.640354620002379693e-01;1.718019854101660859e-01;3.665222283891792472e+02;9.441390716189811405e-01;-1.217194532887121150e-02;9.826286796824382774e-01;3.070168346807146804e+02;1.038586800921121212e+00;2.320363694985617398e-01;3.024188195810233459e-01;3.075512898697957667e+02;2.980368207857588914e+02;2.616864193508841936e+02;-1.049847658958811678e+02;9.722659550403430773e-01;8.062675621960436745e-01;3.346818407560596711e+02;3.096995485037686535e+02;3.034005691496450368e+02;3.188302491071926283e+02;4.829720132745035421e+00
9.563114811481132627e-01;3.773537834545019010e+00;1.919859708241631768e+00;8.623425822807370134e-01;3.255581544501681606e+02;7.550781843570446294e-02;5.813859087699718015e-02;4.042360970093071160e+02;-1.000057776021553879e+00;-7.383969984178126141e-04;2.535948312108816438e+00;2.544541634621458326e-01;7.203321470312708426e-03;3.846050980696021163e-05;3.013548330066552694e+02;3.577072676839060250e+02;1.640354620002379693e-01;1.687970569351078809e-01;4.042360970093071160e+02;9.444907466044251132e-01;-1.131510804270557773e-02;9.834681610307618449e-01;3.446361721389162085e+02;1.038027523921205342e+00;2.544926201255177656e-01;3.307532995203322224e-01;3.452214180585614258e+02;3.446497397862390244e+02;2.882208430610434675e+02;-1.151387902601044004e+02;9.519153285922064001e-01;7.979228602990171559e-01;3.752188899832891593e+02;3.476277165504585014e+02;3.404910706879103373e+02;3.577072676839059682e+02;4.929521235601685980e+00
