3.244531250000008415e-01;2.925895399358820370e+00;8.499999999999999778e-01;1.000000000000000000e+00;1.708154931402983721e+02;8.646683013194393641e-02;7.556905616963219274e-02;1.170354360405374763e+02;-1.152930704664736350e+00;-1.918067905105265338e-03;-1.340372002575822849e-03;-1.629940002810821749e-03;-5.122476895370152783e-06;1.373773855216294783e-05
4.017175312500000928e-01;3.063564274691003231e+00;1.067637148418908888e+00;9.863378943907769036e-01;2.064133029473595968e+02;8.749496977859905211e-02;7.505957913015871841e-02;1.458676587329007077e+02;-1.164250589316514484e+00;-1.616378450262519455e-03;-1.302246262087952211e-03;-1.429442187420951107e-03;-5.708770281994281537e-06;9.897707389024915187e-06
4.725503375000008055e-01;3.184301373906910815e+00;1.258881845185725767e+00;9.716729921137615689e-01;2.467826816707837736e+02;8.811614766725164860e-02;7.440079061636321878e-02;1.727623736306779278e+02;-1.166179926500663599e+00;-1.419469596269290479e-03;-1.265304572446525160e-03;-1.288012641911391717e-03;-4.789163363721570435e-06;4.914641962502929933e-06
5.347228624999971203e-01;3.291929402292291140e+00;1.424675327295603866e+00;9.554296213242807756e-01;2.900069687487885517e+02;8.762661306726138299e-02;7.301684224000068446e-02;1.986633115981986464e+02;-1.163910073511339016e+00;-1.271828729805997340e-03;-1.234432614399939062e-03;-1.179362114747548474e-03;-3.366611619148982499e-06;3.210325810277307809e-06
5.962813124999996051e-01;3.389518065956211856e+00;1.567702447181252845e+00;9.381224407210785321e-01;3.371530054565657224e+02;8.663446092825279055e-02;7.133613427983667710e-02;2.279096182110937718e+02;-1.148845285297532604e+00;-1.153144661629342720e-03;-1.198630773432339883e-03;-1.089683311591989768e-03;-2.533712882193862463e-06;2.966075171705015698e-06
6.600789562500019025e-01;3.478817056258295182e+00;1.687626642413406541e+00;9.201479987205254396e-01;3.915295417779961440e+02;8.588999549744427697e-02;7.007324006648725512e-02;2.590723401869065015e+02;-1.128729199127820770e+00;-1.071771637132576524e-03;-1.161372212390089382e-03;-1.027204239801992594e-03;-2.153095879071190747e-06;1.472910333545967595e-06
7.274738499999980901e-01;3.561056647097441630e+00;1.784596008653560828e+00;9.018194154598740964e-01;4.445999276158497651e+02;8.356650002205302796e-02;6.772700165288254859e-02;2.947677532131393718e+02;-1.112195632077176644e+00;-1.001479599183952235e-03;-1.136692333645989003e-03;-9.751624556730848891e-04;-1.623225770118270223e-06;2.500331384698168112e-06
7.995973937499983863e-01;3.637193459444680421e+00;1.859696841728337935e+00;8.833820287954334827e-01;5.044567146791771961e+02;8.151981123992202427e-02;6.578949373758163910e-02;3.284839023313111852e+02;-1.078240903313438581e+00;-9.448019961821391621e-04;-1.096847746360932012e-03;-9.279714100702458630e-04;-1.531631450711611679e-06;-7.148431129402969128e-07
8.743572937500007081e-01;3.708000147902530408e+00;1.911309634449791517e+00;8.728568775913587707e-01;5.669645386975774954e+02;7.904617386083816200e-02;6.361063388780943684e-02;3.654957921317082992e+02;-1.048640967475550578e+00;-8.984105688257639291e-04;-1.065564102260488236e-03;-8.931967910182080387e-04;-2.509780574229502660e-07;1.065178827141973462e-06
9.482859562500014494e-01;3.774328507503063701e+00;1.942313078924091219e+00;8.622975645606782980e-01;6.386732185485989248e+02;7.703414184600934633e-02;6.195082961653165105e-02;4.021946003884150969e+02;-1.015019186761592085e+00;-8.678993397011091401e-04;-1.030557012890707036e-03;-8.673656073339309092e-04;5.422875807470337498e-07;6.683218681223532126e-07
9.942629250000004637e-01;3.837034888368965113e+00;1.955051680839033912e+00;8.518392405746327833e-01;7.119279455464526336e+02;7.440359865119935967e-02;5.992806423624290335e-02;4.455494799497511735e+02;-9.881350476024800544e-01;-8.429836060697423012e-04;-1.003631896082096166e-03;-8.422131135775377505e-04;1.108382236205072593e-06;-1.551682616686587379e-07
9.999150687500028001e-01;3.897969261098534588e+00;1.957575052201328214e+00;8.415529249635729236e-01;7.897816959973204121e+02;7.172988679383478228e-02;5.780478807688105986e-02;4.899613394100730943e+02;-9.548188071636403151e-01;-8.083539392879960598e-04;-9.707418090998208961e-04;-8.085775260080194701e-04;5.453111899359460246e-07;7.911137985551981291e-07
1.000000000000000000e+00;3.958276017679501546e+00;1.958903335307094373e+00;8.314429503374556329e-01;8.860718842842154572e+02;7.021113653827583401e-02;5.659122796211675521e-02;5.373047508371355434e+02;-9.214334017583641900e-01;-7.858315913076294526e-04;-9.355485753160145768e-04;-7.860573486951718571e-04;6.685305513866433346e-07;7.717560955372427627e-07
