# superior boundary of interpolation dim 3 stochastic 1
3.511074479230584355e+00;2.549999999999999822e+00;1.000000009999999939e+00
3.676698611595028865e+00;2.617326976995800969e+00;1.000000009999999939e+00
3.821774811625286539e+00;2.684369673465142547e+00;1.000000009999999939e+00
3.951096225126753847e+00;2.750327880286402848e+00;1.000000009999999939e+00
4.068592448985602239e+00;2.814550773835491793e+00;1.000000009999999939e+00
4.176117207014022448e+00;2.876528018300115175e+00;1.000000009999999939e+00
4.275065237679379848e+00;2.935870973207499013e+00;1.000000009999999939e+00
4.366632712811524542e+00;2.992299684687413475e+00;1.000000009999999939e+00
4.451777227700474349e+00;3.045629438662549759e+00;1.000000009999999939e+00
4.531440922105342217e+00;3.095756635982616967e+00;1.000000009999999939e+00
4.606605101229535038e+00;3.142645749840257352e+00;1.000000009999999939e+00
4.678712936163295311e+00;3.186317103349757041e+00;1.000000009999999939e+00
4.750734120286876028e+00;3.226836717104180519e+00;1.000000009999999939e+00
4.820917267988058974e+00;3.264309371694916972e+00;1.000000009999999939e+00
4.888300956321934621e+00;3.298857959988160893e+00;1.000000009999999939e+00
4.952422370350465286e+00;3.330619925473899734e+00;1.000000009999999939e+00
5.013128464834448295e+00;3.359743259923356984e+00;1.000000009999999939e+00
5.070453485904410584e+00;3.386382611294364242e+00;1.000000009999999939e+00
5.124539812909783443e+00;3.410695786557061737e+00;1.000000009999999939e+00
5.175587209796648658e+00;3.432840771949266845e+00;1.000000009999999939e+00
5.223820734862833604e+00;3.452973298079562881e+00;1.000000009999999939e+00
5.269470888618813298e+00;3.471244924567039813e+00;1.000000009999999939e+00
5.312761755595467150e+00;3.487801592379986548e+00;1.000000009999999939e+00
5.353904329332826784e+00;3.502782581302616993e+00;1.000000009999999939e+00
5.393093159185665897e+00;3.516319808405125702e+00;1.000000009999999939e+00
5.430505088652135548e+00;3.528537406876194549e+00;1.000000009999999939e+00
5.466299275249355993e+00;3.539551530551007019e+00;1.000000009999999939e+00
5.500617962099680902e+00;3.549470336402647863e+00;1.000000009999999939e+00
5.533587657995680864e+00;3.558394104275403702e+00;1.000000009999999939e+00
5.565320506771960218e+00;3.566415459741920202e+00;1.000000009999999939e+00
5.595915709002920124e+00;3.573619671926302477e+00;1.000000009999999939e+00
5.625460913200716284e+00;3.580085003364076979e+00;1.000000009999999939e+00
5.654033529082000520e+00;3.585883093464846461e+00;1.000000009999999939e+00
5.681701938334456692e+00;3.591079360948491228e+00;1.000000009999999939e+00
5.708526592829593405e+00;3.595733413807443934e+00;1.000000009999999939e+00
5.734560999210623677e+00;3.599899457980755724e+00;1.000000009999999939e+00
5.759852594122921055e+00;3.603626698085048652e+00;1.000000009999999939e+00
5.784443517317176209e+00;3.606959725303295450e+00;1.000000009999999939e+00
5.808371291290092664e+00;3.609938888948129865e+00;1.000000009999999939e+00
5.831669416599479128e+00;3.612600649348026494e+00;1.000000009999999939e+00
5.854367891874456831e+00;3.614977910600712274e+00;1.000000009999999939e+00
5.876493667083351191e+00;3.617100332439995736e+00;1.000000009999999939e+00
5.898071037981957865e+00;3.618994621004975265e+00;1.000000009999999939e+00
5.919121988945242663e+00;3.620684798713790009e+00;1.000000009999999939e+00
