"","beta_alpha","beta_beta","growth0","beta0","eta","Upsilon","calibration_id"
"31",0.00864190716043136,0.051690186245786,0.00711938314306653,4.56532037755083,3.36907958600309,4.40637683957019,"1"
"64",0.00542084476641341,0.0235700958777984,0.0125027672743411,7.46842311433628,3.67245347026992,4.80968000534152,"2"
"54",0.0853427901850966,0.322729654663445,0.0370546615393167,5.36898091040337,2.08222031769552,6.50470862457179,"3"
