year;SCCDS;SCD_perm;SCD_trans;trans_stock_ratio;P_struct;C_trans;excess_se;P_struct_se;C_trans_se;A38_base;A38_perm
2015;68.5455699526242;58.391965440253564;52.62904349912281;0.43264840483377864;5.762921941130759;-15.916526453501397;0.03882338208010233;0.008144083827842047;0.039413525557041765;0.5761553673961103;0.5113057078167734
2030;97.02111135982864;121.87742850821242;114.6818179223693;0.7079479728418625;7.195610585843109;17.660706562540675;0.28256010496889455;0.009878929909977036;0.281687285028094;0.5761553673961103;0.48958101751191097
2045;121.63593466743433;125.27124462404316;115.64541651053086;0.6010891432266615;9.625828113512299;-5.990518156903469;0.2885655771729903;0.01323517296237093;0.2892719260379257;0.5761553673961103;0.5042053237111073
2060;140.8111379354975;137.47275170056508;125.94240635933215;0.6026475248843188;11.530345341232922;-14.868731576165338;0.28112918142722754;0.015655348409305863;0.2793966892614559;0.5761553673961103;0.5082286686766377
2075;157.24891750051063;149.9322576137302;136.8970427798618;0.6262529782314777;13.035214833868388;-20.351874720648826;0.2885901182583057;0.01848372724941629;0.28325200379626003;0.5761553673961103;0.510086715079023
2090;168.13129960527658;158.78157486795925;144.68934766104746;0.6583540747627393;14.092227206911785;-23.441951944229114;0.296905674958934;0.021306116170446386;0.28760653018470345;0.5761553673961103;0.5113826926156474
2105;176.4881116182688;166.0967872624994;151.45543996038393;0.6958336208727074;14.641347302115461;-25.032671657884862;0.2972687207495362;0.023606162144549057;0.2841640383083981;0.5761553673961103;0.5124031492691826
2120;180.14405647128643;169.72587676825518;155.13469751993398;0.7369010832105161;14.591179248321193;-25.009358951352446;0.2979649217743308;0.025066855561604276;0.2819706499755314;0.5761553673961103;0.5133048768330093
2135;181.30152343913926;171.6678660200121;157.77421952882247;0.7810769697598992;13.893646491189608;-23.527303910316782;0.3041273499715384;0.02501352200849989;0.28667917284039895;0.5761553673961103;0.5141361867500193
2150;177.73600423334338;169.58832153514518;157.10643639445144;0.8271780115146206;12.481885140693736;-20.62956783889194;0.30238933211356683;0.02371154779698927;0.2850403812155882;0.5761553673961103;0.5149850658411808
2165;171.46295501622185;165.47130677918517;155.19662408125416;0.8760072104028859;10.274682697931006;-16.2663309349677;0.30404050035682795;0.020886738181105216;0.2887218734372651;0.5761553673961103;0.5158032440776966
2180;163.68506578678256;160.29640433093172;153.06583965203262;0.9267145128459541;7.230564678899109;-10.619226134749942;0.3052702825962101;0.016111778931357464;0.29387387295629275;0.5761553673961103;0.5166505324510821
